
Host: ROG-Zephyrus-G14

Timers On : Fri Nov  7 10:00:59 2025
Timers Off: Fri Nov  7 10:01:05 2025

Wall Time:        5.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.217u      0.000s      0.122w      5 calls
build grid                          :      0.133u      0.000s      0.078w      5 calls
post-process grid                   :      0.083u      0.000s      0.044w      5 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.019w      5 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.022w     27 calls
DFH: initialize()                   :      0.050u      0.000s      0.042w      5 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      5 calls
DFH: AO-Met. Contraction            :      0.033u      0.000s      0.003w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.083u      0.033s      0.075w      5 calls
SAD Guess                           :      0.067u      0.033s      0.072w      3 calls
HF: Form G                          :      3.683u      0.400s      2.466w     41 calls
RV: Form V                          :      3.667u      0.400s      2.456w     41 calls
Properties                          :      0.783u      0.083s      0.571w  24379 calls
Functional                          :      2.283u      0.183s      1.478w  24379 calls
V_xc                                :      0.650u      0.133s      0.480w  22718 calls
JK: D                               :      0.000u      0.000s      0.000w     41 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     41 calls
JK: JK                              :      0.017u      0.000s      0.008w     41 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.008w     41 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     41 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     41 calls
DFH: compute_K                      :      0.017u      0.000s      0.005w     41 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     41 calls
HF: Form F                          :      0.000u      0.000s      0.000w     41 calls
HF: Form D                          :      0.000u      0.000s      0.000w     41 calls
HF: DIIS                            :      0.417u      0.067s      0.264w     38 calls
HF: Form C                          :      0.050u      0.000s      0.011w     38 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      3 calls
Grad: S                             :      0.000u      0.000s      0.001w      3 calls
Grad: JK                            :      0.067u      0.017s      0.054w      3 calls
JKGrad: Amn                         :      0.017u      0.017s      0.008w      3 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      3 calls
JKGrad: AB                          :      0.000u      0.000s      0.012w      3 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      3 calls
JKGrad: ABx                         :      0.017u      0.000s      0.005w      3 calls
JKGrad: Amnx                        :      0.033u      0.000s      0.025w      3 calls
Grad: XC                            :      0.500u      0.033s      0.318w      3 calls
V_xc gradient                       :      0.217u      0.000s      0.092w   1661 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.217u      0.000s      0.122w      5 calls
| build grid                        :      0.133u      0.000s      0.078w      5 calls
| post-process grid                 :      0.083u      0.000s      0.044w      5 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.019w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      5 calls
DFH: initialize()                   :      0.050u      0.000s      0.042w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w     10 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      5 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.003w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.083u      0.033s      0.075w      5 calls
| SAD Guess                         :      0.067u      0.033s      0.072w      3 calls
HF: Form G                          :      3.683u      0.400s      2.466w     41 calls
| RV: Form V                        :      3.667u      0.400s      2.456w     41 calls
| | Properties                      :      0.617u      0.067s      0.456w  22718 calls
| | Functional                      :      2.183u      0.167s      1.377w  22718 calls
| | V_xc                            :      0.650u      0.133s      0.480w  22718 calls
| JK: D                             :      0.000u      0.000s      0.000w     41 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     41 calls
| JK: JK                            :      0.017u      0.000s      0.008w     41 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.008w     41 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     41 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     41 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.005w     41 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     41 calls
HF: Form F                          :      0.000u      0.000s      0.000w     41 calls
HF: Form D                          :      0.000u      0.000s      0.000w     41 calls
HF: DIIS                            :      0.417u      0.067s      0.264w     38 calls
HF: Form C                          :      0.050u      0.000s      0.011w     38 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      3 calls
Grad: S                             :      0.000u      0.000s      0.001w      3 calls
Grad: JK                            :      0.067u      0.017s      0.054w      3 calls
| JKGrad: Amn                       :      0.017u      0.017s      0.008w      3 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.002w      3 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      3 calls
| JKGrad: AB                        :      0.000u      0.000s      0.012w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      3 calls
| JKGrad: ABx                       :      0.017u      0.000s      0.005w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: Amnx                      :      0.033u      0.000s      0.025w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w      3 calls
Grad: XC                            :      0.500u      0.033s      0.318w      3 calls
| Properties                        :      0.167u      0.017s      0.115w   1661 calls
| Functional                        :      0.100u      0.017s      0.101w   1661 calls
| V_xc gradient                     :      0.217u      0.000s      0.092w   1661 calls

**************************************************************************************

Host: ROG-Zephyrus-G14

Timers On : Fri Nov  7 10:03:49 2025
Timers Off: Fri Nov  7 10:03:54 2025

Wall Time:        5.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.183u      0.000s      0.122w      5 calls
build grid                          :      0.100u      0.000s      0.077w      5 calls
post-process grid                   :      0.083u      0.000s      0.045w      5 calls
DFH: sparsity prep                  :      0.000u      0.017s      0.013w      5 calls
